Cry1Jc1	99.1
Cry10Aa1	94.4
Cry10Aa1	97.0
Cry10Aa1	97.2
Cry11Aa1	95.8
Cry11Aa1	99.2
Cry13Aa1	50.1
Cry14Aa1	41.1
Cry14Aa1	44.0
Cry14Ab1	42.4
Cry14Ab1	85.6
Cry19Aa1	29.2
Cry19Ba1	74.0
Cry1Ab12	91.4
Cry1Ab32	92.7
Cry1Ac23	90.7
Cry1Ad2	87.7
Cry1Da1	83.2
Cry1Da1	84.8
Cry1Ea10	93.2
Cry1Ga1	77.9
Cry1Ha1	85.7
Cry1Ia24	22.2
Cry1Ie2	23.3
Cry1Ie5	79.3
Cry20Ba2	80.0
Cry21Aa2	44.6
Cry21Ba1	28.9
Cry21Ca1	38.9
Cry21Ca2	37.1
Cry21Ca2	64.6
Cry21Ca2	65.9
Cry21Fa1	31.0
Cry21Fa1	47.3
Cry24Aa1	60.8
Cry24Aa1	98.3
Cry25Aa1	97.8
Cry27Aa1	80.8
Cry29Aa1	96.4
Cry2Ab4	93.2
Cry2Ah2	92.7
Cry2Ak1	76.8
Cry2Ba1	29.9
Cry30Ca1	66.6
Cry30Ga2	64.5
Cry32Ea2	41.9
Cry32Ea2	45.2
Cry32Hb1	41.4
Cry32Ma1	57.7
Cry32Ta1	48.0
Cry32Ua1	65.2
Cry32Va1	61.0
Cry32Wa1	39.0
Cry3Aa12	81.9
Cry40Aa1	67.9
Cry40Da1	65.0
Cry40Da1	66.9
Cry40Da1	77.3
Cry40Da1	81.5
Cry41Ba2	42.3
Cry41Ba2	43.6
Cry41Ba2	47.9
Cry41Ca1	39.9
Cry41Ca1	50.4
Cry43Cb1	38.6
Cry43Cb1	43.9
Cry48Aa1	36.6
Cry48Aa1	36.9
Cry4Aa1	32.5
Cry4Ba1	31.6
Cry4Ba1	63.7
Cry4Ba1	63.8
Cry4Ca2	48.4
Cry4Ca2	51.6
Cry4Cb3	34.4
Cry52Ca1	62.9
Cry53Aa1	40.7
Cry53Ab1	39.4
Cry53Ab1	40.0
Cry53Ab1	40.9
Cry54Aa1	88.1
Cry56Aa2	56.0
Cry56Aa4	56.4
Cry56Aa4	77.6
Cry56Aa4	79.3
Cry57Ab1	90.3
Cry58Aa1	27.6
Cry58Aa1	29.0
Cry5Ba1	27.2
Cry5Ba1	48.7
Cry65Aa2	55.6
Cry68Aa1	46.2
Cry68Aa1	74.8
Cry68Aa1	80.1
Cry69Aa2	62.7
Cry69Ab1	58.0
Cry69Ab1	59.2
Cry70Aa1	77.7
Cry70Bb1	67.1
Cry71Aa1	65.9
Cry73Aa1	40.0
Cry73Aa1	88.4
Cry7Ba1	84.3
Cry7Ca1	86.8
Cry7Ca1	99.7
Cry7Cb1	60.4
Cry7Ea2	99.9
Cry7Fb2	99.7
Cry7Gb1	28.6
Cry7Gb1	94.1
Cry8Aa1	47.1
Cry8Ab1	80.0
Cry8Ab1	80.3
Cry8Ba1	88.6
Cry8Ca1	41.2
Cry8Ca1	42.6
Cry8Da1	43.7
Cry8Db1	49.9
Cry8Db1	51.1
Cry8Ha1	89.4
Cry8Ha1	89.8
Cry8Ja1	60.3
Cry8Kb1	73.3
Cry8Ma2	96.0
Cry8Ma3	96.0
Cry9Ga1	57.2
Cry9Ga1	58.0
