depth	cry_list	cry_num	node	init_structure
#1	BT_Cry8Ka1,BT_Cry8Ka3	2	1	BT_Cry8Ka1; BT_Cry8Ka3
#1	BT_Cry8Ia3,BT_Cry8Ib1	2	2	BT_Cry8Ia3; BT_Cry8Ib1
#1	BT_Cry8Na1,BT_Cry8Sa1	2	3	BT_Cry8Na1; BT_Cry8Sa1
#1	BT_Cry8Da1,BT_Cry8Db1	2	4	BT_Cry8Da1; BT_Cry8Db1
#1	BT_Cry8Ad1,BT_Cry8Aa1	2	5	BT_Cry8Ad1; BT_Cry8Aa1
#1	BT_Cry9Ec1,BT_Cry9Ed1	2	6	BT_Cry9Ec1; BT_Cry9Ed1
#1	BT_Cry9Ba1,BT_Cry9Bb1	2	7	BT_Cry9Ba1; BT_Cry9Bb1
#1	BT_Cry9Dc1,BT_Cry9Db1	2	8	BT_Cry9Dc1; BT_Cry9Db1
#1	BT_Cry7Ka1,BT_Cry7Kb1	2	9	BT_Cry7Ka1; BT_Cry7Kb1
#1	BT_Cry7Ab1,BT_Cry7Aa1	2	10	BT_Cry7Ab1; BT_Cry7Aa1
#1	BT_Cry3Bb1,BT_Cry3Ba1	2	11	BT_Cry3Bb1; BT_Cry3Ba1
#1	BT_Cry1Nb1,BT_Cry1Na1	2	12	BT_Cry1Nb1; BT_Cry1Na1
#1	BT_Cry1Fa1,BT_Cry1Fb1	2	13	BT_Cry1Fa1; BT_Cry1Fb1
#1	BT_Cry1Ja1,BT_Cry1Jb1	2	14	BT_Cry1Ja1; BT_Cry1Jb1
#1	BT_Cry1Bg1,BT_Cry1Bi1	2	15	BT_Cry1Bg1; BT_Cry1Bi1
#1	BT_Cry1Bj1,BT_Cry1Be1	2	16	BT_Cry1Bj1; BT_Cry1Be1
#1	BT_Cry1Bb1,BT_Cry1Bd1	2	17	BT_Cry1Bb1; BT_Cry1Bd1
#1	BT_Cry1Ka2,BT_Cry1Ma1	2	18	BT_Cry1Ka2; BT_Cry1Ma1
#1	BT_Cry8Ba1,BT_Cry8Bc1	2	19	BT_Cry8Ba1; BT_Cry8Bc1
#1	BT_Cry8Ja1,BT_Cry8Ea2	2	20	BT_Cry8Ja1; BT_Cry8Ea2
#1	BT_Cry8Fa2,BT_Cry8Qa1	2	21	BT_Cry8Fa2; BT_Cry8Qa1
#1	BT_Cry9Ga1,BT_Cry9Aa1	2	22	BT_Cry9Ga1; BT_Cry9Aa1
#1	BT_Cry5Ab1,BT_Cry5Ea2	2	23	BT_Cry5Ab1; BT_Cry5Ea2
#1	BT_Cry4Ba1,BT_Cry4Ba3	2	24	BT_Cry4Ba1; BT_Cry4Ba3
#1	BT_Cry9Eb1,BT_Cry9Ea10	2	25	BT_Cry9Eb1; BT_Cry9Ea10
#1	BT_Cry1Ca11,BT_Cry1Cb1	2	26	BT_Cry1Ca11; BT_Cry1Cb1
