depth	cry_list	cry_num	node	init_structure
#1	BT_Cry4Ba1,BT_Cry4Ba3	2	1	BT_Cry4Ba1; BT_Cry4Ba3
#1	BT_Cry8Fa2,BT_Cry8Ga1	2	2	BT_Cry8Fa2; BT_Cry8Ga1
#1	BT_Cry8Ka1,BT_Cry8Ka3	2	3	BT_Cry8Ka1; BT_Cry8Ka3
#1	BT_Cry8Ac1,BT_Cry8Qa1	2	4	BT_Cry8Ac1; BT_Cry8Qa1
#1	BT_Cry1Db1,BT_Cry1Da1	2	5	BT_Cry1Db1; BT_Cry1Da1
#1	BT_Cry9Dc1,BT_Cry9Ba1	2	6	BT_Cry9Dc1; BT_Cry9Ba1
#1	BT_Cry9Eb1,BT_Cry9Da1	2	7	BT_Cry9Eb1; BT_Cry9Da1
#1	BT_Cry9Bb1,BT_Cry9Ee1	2	8	BT_Cry9Bb1; BT_Cry9Ee1
#1	BT_Cry9Aa1,BT_Cry1Jb1	2	9	BT_Cry9Aa1; BT_Cry1Jb1
#1	BT_Cry1Ja1,BT_Cry1Fb1	2	10	BT_Cry1Ja1; BT_Cry1Fb1
#1	BT_Cry1Ga2,BT_Cry1Gb1	2	11	BT_Cry1Ga2; BT_Cry1Gb1
#1	BT_Cry1Nb1,BT_Cry1Na1	2	12	BT_Cry1Nb1; BT_Cry1Na1
#1	BT_Cry1La1,BT_Cry9Fa1	2	13	BT_Cry1La1; BT_Cry9Fa1
#1	BT_Cry1Bg1,BT_Cry1Be1	2	14	BT_Cry1Bg1; BT_Cry1Be1
#1	BT_Cry1Cb1,BT_Cry1Eb1	2	15	BT_Cry1Cb1; BT_Cry1Eb1
#1	BT_Cry3Bb1,BT_Cry3Ba1	2	16	BT_Cry3Bb1; BT_Cry3Ba1
#1	BT_Cry1Ig1,BT_Cry1Ka2	2	17	BT_Cry1Ig1; BT_Cry1Ka2
#1	BT_Cry7Ab1,BT_Cry7Ab5	2	18	BT_Cry7Ab1; BT_Cry7Ab5
#1	BT_Cry7Kb1,BT_Cry7Ka1	2	19	BT_Cry7Kb1; BT_Cry7Ka1
#1	BT_Cry7Ia1,BT_Cry7Ba1	2	20	BT_Cry7Ia1; BT_Cry7Ba1
#1	BT_Cry8Ia3,BT_Cry8Ib1	2	21	BT_Cry8Ia3; BT_Cry8Ib1
#1	BT_Cry8Ca1,BT_Cry8Ja1	2	22	BT_Cry8Ca1; BT_Cry8Ja1
#1	BT_Cry2Ak1,BT_Cry2Ah3	2	23	BT_Cry2Ak1; BT_Cry2Ah3
#1	BT_Cry1Bi1,BT_Cry1Bj1	2	24	BT_Cry1Bi1; BT_Cry1Bj1
#1	BT_Cry1Ai1,BT_Cry1Ah2	2	25	BT_Cry1Ai1; BT_Cry1Ah2
#1	BT_Cry1Bd1,BT_Cry1Bh1	2	26	BT_Cry1Bd1; BT_Cry1Bh1
#1	BT_Cry5Ba1,BT_Cry5Ab1	2	27	BT_Cry5Ba1; BT_Cry5Ab1
#1	BT_Cry1Aa10,BT_Cry1Ag1	2	28	BT_Cry1Aa10; BT_Cry1Ag1
#1	BT_Cry1Ia11,BT_Cry1Ic1	2	29	BT_Cry1Ia11; BT_Cry1Ic1
#1	BT_Cry2Aa13,BT_Cry2Ai1	2	30	BT_Cry2Aa13; BT_Cry2Ai1
#1	BT_Cry21Da1,BT_Cry5Ca1	2	31	BT_Cry21Da1; BT_Cry5Ca1
#1	BT_Cry59Aa1,BT_Cry59Ba1	2	32	BT_Cry59Aa1; BT_Cry59Ba1
#1	BT_Cry48Ab1,BT_Cry48Aa1	2	33	BT_Cry48Ab1; BT_Cry48Aa1
#1	BT_Cry17Aa1,BT_Cry16Aa1	2	34	BT_Cry17Aa1; BT_Cry16Aa1
#1	BT_Cry52Aa1,BT_Cry52Ca1	2	35	BT_Cry52Aa1; BT_Cry52Ca1
#1	BT_Cry24Da1,BT_Cry44Aa1	2	36	BT_Cry24Da1; BT_Cry44Aa1
#1	BT_Cry32Pa1,BT_Cry32Wa1	2	37	BT_Cry32Pa1; BT_Cry32Wa1
#1	BT_Cry32Ba1,BT_Cry32La1	2	38	BT_Cry32Ba1; BT_Cry32La1
#1	BT_Cry32Ta1,BT_Cry32Va1	2	39	BT_Cry32Ta1; BT_Cry32Va1
#1	BT_Cry32Ha1,BT_Cry32Hb1	2	40	BT_Cry32Ha1; BT_Cry32Hb1
