ID,Type,Mode,Same_flag,Recs,Rec_hosts,Mins,Min_hots,Majs,Maj_hosts
8,domain3,Rank3,Same,BT_Cry71Aa1,Spodoptera exigua (Lepidoptera),BT_Cry72Aa1,Spodoptera exigua (Lepidoptera),NOV_Cry71Aa1_65.9_PER41598.1,Spodoptera frugiperda (Lepidoptera)
14,domain3,Rank3,Different,BT_Cry1Cb1,Conopomorpha cramerella (Lepidoptera),BT_Cry1Eb1,Argyrotaenia citrana (Lepidoptera),BT_Cry1Ca11,Aedes aegypti (Diptera)
,,,,,Myzus persicae (Hemiptera),,Choristoneura rosaceana (Lepidoptera),,Anopheles gambiae (Diptera)
,,,,,Spodoptera exigua (Lepidoptera),,Pandemis pyrusana (Lepidoptera),,Anticarsia gemmatalis (Lepidoptera)
,,,,,Trichoplusia ni (Lepidoptera),,Platynota stultana (Lepidoptera),,Argyrotaenia citrana (Lepidoptera)
,,,,,,,Plutella xylostella (Lepidoptera),,Bombyx mori (Lepidoptera)
,,,,,,,Spodoptera exigua (Lepidoptera),,Busseola fusca (Lepidoptera)
,,,,,,,Trichoplusia ni (Lepidoptera),,Cacyreus marshalli (Lepidoptera)
,,,,,,BT_Cry1Be1,Helicoverpa zea (Lepidoptera),,Chilo suppressalis (Lepidoptera)
,,,,,,,Heliothis virescens (Lepidoptera),,Choristoneura fumiferana (Lepidoptera)
,,,,,,,Ostrinia nubilalis (Lepidoptera),,Choristoneura occidentalis (Lepidoptera)
,,,,,,,Plutella xylostella (Lepidoptera),,Choristoneura rosaceana (Lepidoptera)
,,,,,,,Spodoptera exigua (Lepidoptera),,Chrysodeixis includens (Lepidoptera)
,,,,,,,Spodoptera frugiperda (Lepidoptera),,Conopomorpha cramerella (Lepidoptera)
,,,,,,,Trichoplusia ni (Lepidoptera),,Culex quinquefasciatus (Diptera)
,,,,,,BT_Cry1Bf1,Heliothis virescens (Lepidoptera),,Cydia pomonella (Lepidoptera)
,,,,,,,Ostrinia furnacalis (Lepidoptera),,Diatraea flavipennella (Lepidoptera)
,,,,,,,Ostrinia nubilalis (Lepidoptera),,Diatraea saccharalis (Lepidoptera)
,,,,,,,Plutella xylostella (Lepidoptera),,Elasmopalpus lignosellus (Lepidoptera)
,,,,,,,Sesamia nonagrioides (Lepidoptera),,Eldana saccharina (Lepidoptera)
,,,,,,,Trichoplusia ni (Lepidoptera),,Epinotia aporema (Lepidoptera)
,,,,,,BT_Cry1Bg1,,,Grapholita molesta (Lepidoptera)
,,,,,,,,,Helicoverpa armigera (Lepidoptera)
,,,,,,,,,Heliothis virescens (Lepidoptera)
,,,,,,,,,Lambdina fiscellaria (Lepidoptera)
,,,,,,,,,Lymantria dispar (Lepidoptera)
,,,,,,,,,Malacosoma disstria (Lepidoptera)
,,,,,,,,,Mamestra brassicae (Lepidoptera)
,,,,,,,,,Mamestra configurata (Lepidoptera)
,,,,,,,,,Maruca vitrata (Lepidoptera)
,,,,,,,,,Orgyia leucostigma (Lepidoptera)
,,,,,,,,,Pandemis pyrusana (Lepidoptera)
,,,,,,,,,Pieris brassicae (Lepidoptera)
,,,,,,,,,Platynota stultana (Lepidoptera)
,,,,,,,,,Plodia interpunctella (Lepidoptera)
,,,,,,,,,Plutella xylostella (Lepidoptera)
,,,,,,,,,Scirpophaga incertulas (Lepidoptera)
,,,,,,,,,Sesamia calamistis (Lepidoptera)
,,,,,,,,,Sesamia inferens (Lepidoptera)
,,,,,,,,,Spodoptera exempta (Lepidoptera)
,,,,,,,,,Spodoptera exigua (Lepidoptera)
,,,,,,,,,Spodoptera frugiperda (Lepidoptera)
,,,,,,,,,Spodoptera littoralis (Lepidoptera)
,,,,,,,,,Trichoplusia ni (Lepidoptera)
17,domain3,Rank3,Same,BT_Cry1Fa1,Anticarsia gemmatalis (Lepidoptera),BT_Cry1Ig1,Diatraea grandiosella (Lepidoptera),BT_Cry1Fb1,Agrotis ipsilon (Lepidoptera)
,,,,,Argyrotaenia citrana (Lepidoptera),,Ostrinia nubilalis (Lepidoptera),,Manduca sexta (Lepidoptera)
,,,,,Bombyx mori (Lepidoptera),,Plutella xylostella (Lepidoptera),,Spodoptera frugiperda (Lepidoptera)
,,,,,Cacyreus marshalli (Lepidoptera),BT_Cry1Ka2,Manduca sexta (Lepidoptera),,
,,,,,Chilo suppressalis (Lepidoptera),,Pieris rapae (Lepidoptera),,
,,,,,Choristoneura fumiferana (Lepidoptera),,,,
,,,,,Choristoneura occidentalis (Lepidoptera),,,,
,,,,,Choristoneura rosaceana (Lepidoptera),,,,
,,,,,Chrysodeixis includens (Lepidoptera),,,,
,,,,,Conogethes punctiferalis (Lepidoptera),,,,
,,,,,Conopomorpha cramerella (Lepidoptera),,,,
,,,,,Cydia pomonella (Lepidoptera),,,,
,,,,,Earias insulana (Lepidoptera),,,,
,,,,,Helicoverpa armigera (Lepidoptera),,,,
,,,,,Helicoverpa punctigera (Lepidoptera),,,,
,,,,,Heliothis virescens (Lepidoptera),,,,
,,,,,Lymantria dispar (Lepidoptera),,,,
,,,,,Mythimna separata (Lepidoptera),,,,
,,,,,Ostrinia nubilalis (Lepidoptera),,,,
,,,,,Pandemis pyrusana (Lepidoptera),,,,
,,,,,Platynota stultana (Lepidoptera),,,,
,,,,,Plutella xylostella (Lepidoptera),,,,
,,,,,Spodoptera exigua (Lepidoptera),,,,
,,,,,Spodoptera frugiperda (Lepidoptera),,,,
,,,,,Spodoptera littoralis (Lepidoptera),,,,
,,,,,Trichoplusia ni (Lepidoptera),,,,
19,domain3,Rank3,Same,BT_Cry9Ga1,Anticarsia gemmatalis (Lepidoptera),BT_Cry1Gb1,Pieris rapae (Lepidoptera),BT_Cry9Aa1,Chilo suppressalis (Lepidoptera)
,,,,,Diatraea grandiosella (Lepidoptera),,Plutella xylostella (Lepidoptera),,Ctenopsuestis obliquana (Lepidoptera)
,,,,,Plutella xylostella (Lepidoptera),BT_Cry1Ga2,,,Epiphyas postvittana (Lepidoptera)
,,,,,,,,,Galleria mellonella (Lepidoptera)
,,,,,,,,,Helicoverpa armigera (Lepidoptera)
,,,,,,,,,Helicoverpa punctigera (Lepidoptera)
,,,,,,,,,Helicoverpa zea (Lepidoptera)
,,,,,,,,,Heliothis virescens (Lepidoptera)
