Start,Stop,Event
3106,3167,"node=""N9->BT_Cry5Ea2"";neg_log_likelihood=""404.583147"";taxa=""BT_Cry5Ea2"";snp_count=""32"";"
2807,2996,"node=""N12->NOV_Cry5Ba1_27.2_AZR80678.1"";neg_log_likelihood=""498.135830"";taxa=""NOV_Cry5Ba1_27.2_AZR80678.1"";snp_count=""46"";"
3439,3640,"node=""N20->BT_Cry5Ca1"";neg_log_likelihood=""426.764539"";taxa=""BT_Cry5Ca1"";snp_count=""30"";"
358,443,"node=""N15->N16"";neg_log_likelihood=""285.290440"";taxa=""  NOV_Cry21Ca1_38.9_AEH76823.1  NOV_Cry21Ca2_37.1_AOM14729.1  NOV_Cry21Fa1_47.3_OTY57628.1 NOV_Cry58Aa1_27.6_AGS78122.1 BT_Cry58Aa1"";snp_count=""32"";"
1968,2072,"node=""N24->BT_Cry21Aa1"";neg_log_likelihood=""263.764242"";taxa=""BT_Cry21Aa1"";snp_count=""18"";"
4486,5030,"node=""N27->NOV_Cry21Ca2_65.9_AZR80774.1"";neg_log_likelihood=""97.043067"";taxa=""NOV_Cry21Ca2_65.9_AZR80774.1"";snp_count=""19"";"
1975,2642,"node=""N31->NOV_Cry14Ab1_85.6_AXE15628.1"";neg_log_likelihood=""149.502087"";taxa=""NOV_Cry14Ab1_85.6_AXE15628.1"";snp_count=""41"";"
2818,3057,"node=""N31->NOV_Cry14Ab1_85.6_AXE15628.1"";neg_log_likelihood=""98.698550"";taxa=""NOV_Cry14Ab1_85.6_AXE15628.1"";snp_count=""12"";"
490,1109,"node=""N30->N31"";neg_log_likelihood=""102.905771"";taxa="" BT_Cry14Ab1 NOV_Cry14Ab1_85.6_AXE15628.1"";snp_count=""30"";"
4492,4681,"node=""N34->NOV_Cry14Ab1_42.4_PGW46196.1"";neg_log_likelihood=""199.064107"";taxa=""NOV_Cry14Ab1_42.4_PGW46196.1"";snp_count=""23"";"
293,783,"node=""N34->NOV_Cry14Aa1_41.1_PGW46198.1"";neg_log_likelihood=""296.219248"";taxa=""NOV_Cry14Aa1_41.1_PGW46198.1"";snp_count=""72"";"
871,1420,"node=""N34->NOV_Cry14Aa1_41.1_PGW46198.1"";neg_log_likelihood=""225.914582"";taxa=""NOV_Cry14Aa1_41.1_PGW46198.1"";snp_count=""49"";"
1530,1719,"node=""N34->NOV_Cry14Aa1_41.1_PGW46198.1"";neg_log_likelihood=""180.563694"";taxa=""NOV_Cry14Aa1_41.1_PGW46198.1"";snp_count=""22"";"
73,271,"node=""N34->NOV_Cry14Aa1_41.1_PGW46198.1"";neg_log_likelihood=""149.309245"";taxa=""NOV_Cry14Aa1_41.1_PGW46198.1"";snp_count=""37"";"
2987,3240,"node=""N33->NOV_Cry14Aa1_44.0_PGW42274.1"";neg_log_likelihood=""320.475020"";taxa=""NOV_Cry14Aa1_44.0_PGW42274.1"";snp_count=""31"";"
2755,2821,"node=""N35->BT_Cry13Aa1"";neg_log_likelihood=""439.697079"";taxa=""BT_Cry13Aa1"";snp_count=""40"";"
4239,4495,"node=""N32->N35"";neg_log_likelihood=""223.507224"";taxa="" BT_Cry13Aa1 NOV_Cry13Aa1_50.1_ANS46780.1"";snp_count=""29"";"
4676,4965,"node=""N32->N35"";neg_log_likelihood=""190.855921"";taxa="" BT_Cry13Aa1 NOV_Cry13Aa1_50.1_ANS46780.1"";snp_count=""21"";"
4866,5071,"node=""N36->BT_Cry21Ha1"";neg_log_likelihood=""474.427271"";taxa=""BT_Cry21Ha1"";snp_count=""44"";"
495,609,"node=""N41->NOV_Cry70Aa1_77.7_WP_098222608.1"";neg_log_likelihood=""133.319058"";taxa=""NOV_Cry70Aa1_77.7_WP_098222608.1"";snp_count=""23"";"
566,584,"node=""N43->BT_Cry70Ba1"";neg_log_likelihood=""122.679694"";taxa=""BT_Cry70Ba1"";snp_count=""10"";"
2313,2735,"node=""N42->N43"";neg_log_likelihood=""215.439151"";taxa="" BT_Cry70Bb1 BT_Cry70Ba1"";snp_count=""22"";"
4363,4673,"node=""N42->NOV_Cry70Bb1_67.1_OUB77817.1"";neg_log_likelihood=""311.377785"";taxa=""NOV_Cry70Bb1_67.1_OUB77817.1"";snp_count=""34"";"
4154,5052,"node=""N46->BT_Cry31Ac1"";neg_log_likelihood=""168.408567"";taxa=""BT_Cry31Ac1"";snp_count=""109"";"
3744,3911,"node=""N46->BT_Cry31Ac1"";neg_log_likelihood=""56.706458"";taxa=""BT_Cry31Ac1"";snp_count=""31"";"
3823,4485,"node=""N45->BT_Cry31Ad1"";neg_log_likelihood=""83.118973"";taxa=""BT_Cry31Ad1"";snp_count=""21"";"
4154,4747,"node=""N44->N45"";neg_log_likelihood=""138.992760"";taxa="" BT_Cry31Ad1  BT_Cry31Ac1 BT_Cry31Ab1"";snp_count=""39"";"
3811,3897,"node=""N44->N45"";neg_log_likelihood=""76.229254"";taxa="" BT_Cry31Ad1  BT_Cry31Ac1 BT_Cry31Ab1"";snp_count=""22"";"
4029,4156,"node=""N39->N44"";neg_log_likelihood=""508.838215"";taxa="" BT_Cry31Aa6  BT_Cry31Ad1  BT_Cry31Ac1 BT_Cry31Ab1"";snp_count=""35"";"
4029,4297,"node=""N54->BT_Cry32Ua1"";neg_log_likelihood=""239.523004"";taxa=""BT_Cry32Ua1"";snp_count=""25"";"
2292,2348,"node=""N57->NOV_Cry41Ca1_39.9_WP_001075423.1"";neg_log_likelihood=""504.140698"";taxa=""NOV_Cry41Ca1_39.9_WP_001075423.1"";snp_count=""36"";"
4412,4630,"node=""N59->NOV_Cry41Ca1_50.4_AZJ24166.1"";neg_log_likelihood=""409.672833"";taxa=""NOV_Cry41Ca1_50.4_AZJ24166.1"";snp_count=""27"";"
3642,5014,"node=""N62->NOV_Cry41Ba2_47.9_BAD35157.1"";neg_log_likelihood=""125.789095"";taxa=""NOV_Cry41Ba2_47.9_BAD35157.1"";snp_count=""109"";"
3733,4979,"node=""N62->NOV_Cry41Ba2_43.6_BAD35163.1"";neg_log_likelihood=""94.871179"";taxa=""NOV_Cry41Ba2_43.6_BAD35163.1"";snp_count=""69"";"
2823,3170,"node=""N61->N62"";neg_log_likelihood=""402.902907"";taxa="" NOV_Cry41Ba2_47.9_BAD35157.1 NOV_Cry41Ba2_43.6_BAD35163.1"";snp_count=""38"";"
2321,2448,"node=""N61->N62"";neg_log_likelihood=""373.780884"";taxa="" NOV_Cry41Ba2_47.9_BAD35157.1 NOV_Cry41Ba2_43.6_BAD35163.1"";snp_count=""34"";"
3049,3140,"node=""N58->N59"";neg_log_likelihood=""237.042227"";taxa="" NOV_Cry41Ca1_50.4_AZJ24166.1 BT_Cry41Ba2"";snp_count=""16"";"
3744,5017,"node=""N69->BT_Cry32Mb1"";neg_log_likelihood=""69.463125"";taxa=""BT_Cry32Mb1"";snp_count=""45"";"
3814,5032,"node=""N69->BT_Cry32Ma1"";neg_log_likelihood=""84.286301"";taxa=""BT_Cry32Ma1"";snp_count=""64"";"
4236,5015,"node=""N68->N69"";neg_log_likelihood=""157.708292"";taxa="" BT_Cry32Mb1 BT_Cry32Ma1"";snp_count=""61"";"
3861,4251,"node=""N68->BT_Cry32Wa1"";neg_log_likelihood=""211.151737"";taxa=""BT_Cry32Wa1"";snp_count=""36"";"
2671,3160,"node=""N66->NOV_Cry32Wa1_39.0_PEE63029.1"";neg_log_likelihood=""462.317044"";taxa=""NOV_Cry32Wa1_39.0_PEE63029.1"";snp_count=""44"";"
4037,4212,"node=""N66->N67"";neg_log_likelihood=""355.446430"";taxa=""   BT_Cry32Mb1 BT_Cry32Ma1 BT_Cry32Wa1  NOV_Cry73Aa1_88.4_AQM56942.1 BT_Cry73Aa1"";snp_count=""27"";"
2646,2828,"node=""N64->N65"";neg_log_likelihood=""278.481684"";taxa="" BT_Cry62Aa1 BT_Cry32Pa1"";snp_count=""31"";"
1285,1408,"node=""N55->N56"";neg_log_likelihood=""286.540524"";taxa=""  NOV_Cry41Ca1_39.9_WP_001075423.1 BT_Cry41Ba1   NOV_Cry41Ca1_50.4_AZJ24166.1 BT_Cry41Ba2   NOV_Cry32Ua1_65.2_AQM56939.1  NOV_Cry41Ba2_47.9_BAD35157.1 NOV_Cry41Ba2_43.6_BAD35163.1 NOV_Cry32Ma1_57.7_AXY11484.1"";snp_count=""31"";"
2413,2770,"node=""N73->BT_Cry32Ba1"";neg_log_likelihood=""309.952879"";taxa=""BT_Cry32Ba1"";snp_count=""34"";"
4696,4885,"node=""N79->NOV_Cry32Hb1_41.4_AQX37181.1"";neg_log_likelihood=""420.447335"";taxa=""NOV_Cry32Hb1_41.4_AQX37181.1"";snp_count=""45"";"
3721,4847,"node=""N83->BT_Cry32Hb1"";neg_log_likelihood=""80.245468"";taxa=""BT_Cry32Hb1"";snp_count=""30"";"
4474,4884,"node=""N82->BT_Cry32Oa1"";neg_log_likelihood=""289.558675"";taxa=""BT_Cry32Oa1"";snp_count=""53"";"
2264,2412,"node=""N80->BT_Cry32Ia1"";neg_log_likelihood=""466.706477"";taxa=""BT_Cry32Ia1"";snp_count=""42"";"
2502,2800,"node=""N85->NOV_Cry32Ea2_45.2_WP_087949412.1"";neg_log_likelihood=""478.093811"";taxa=""NOV_Cry32Ea2_45.2_WP_087949412.1"";snp_count=""71"";"
