EEM19417.1	Cry67Aa2	100	BT_Cry67Aa2	GCA_000161475.1	CM000746.1	Chromosome	5273697	5276933	-
EEM19403.1	Cry7Ea2	100	BT_Cry7Ea2	GCA_000161475.1	CM000746.1	Chromosome	5292499	5295972	+
EEM19308.1	Cry61Aa3	100	BT_Cry61Aa3	GCA_000161475.1	CM000746.1	Chromosome	5384717	5388181	+
EEM19090.1	Cry7Fa2	99.9	NOV_Cry7Fa2_99.9_EEM19090.1	GCA_000161475.1	CM000746.1	Chromosome	5607603	5610956	+
EEM32076.1	Cry1Ab12	100	BT_Cry1Ab12	GCA_000161515.1	CM000748.1	Chromosome	5311546	5315013	-
EEM31561.1	Cry1Ba1	100	BT_Cry1Ba1	GCA_000161515.1	CM000748.1	Chromosome	5856961	5860584	+
EEM38018.1	Cry1Aa13	100	BT_Cry1Aa13	GCA_000161535.1	CM000749.1	Chromosome	5519728	5523270	-
EEM44869.1	Cry5Ca1	100	BT_Cry5Ca1	GCA_000161555.1	CM000750.1	Chromosome	5148837	5152820	+
EEM44456.1	Cry65Aa2	99.9	NOV_Cry65Aa2_99.9_EEM44456.1	GCA_000161555.1	CM000750.1	Chromosome	5570439	5573621	+
EEM44315.1	Cry5Da1	100	BT_Cry5Da1	GCA_000161555.1	CM000750.1	Chromosome	5728815	5732354	+
EEM44256.1	Cry5Ea2	100	BT_Cry5Ea2	GCA_000161555.1	CM000750.1	Chromosome	5791165	5793774	-
EEM50110.1	Cry1Ac10	100	BT_Cry1Ac10	GCA_000161575.1	CM000751.1	Chromosome	5453633	5457169	+
EEM55953.1	Cry7Ab4	99.8	NOV_Cry7Ab4_99.8_EEM55953.1	GCA_000161595.1	CM000752.1	Chromosome	6130689	6134105	-
EEM62552.1	Cry1Ba1	100	BT_Cry1Ba1	GCA_000161615.1	CM000753.1	Chromosome	5760000	5763623	+
EEM62204.1	Cry1Ab12	100	BT_Cry1Ab12	GCA_000161615.1	CM000753.1	Chromosome	6163766	6167233	+
EEM68667.1	Cry41Ba2	100	BT_Cry41Ba2	GCA_000161635.1	CM000754.1	Chromosome	5179302	5181896	-
EEM68355.1	Cry41Ba1	100	BT_Cry41Ba1	GCA_000161635.1	CM000754.1	Chromosome	5458944	5461289	-
EEM86551.1	Cry8Ma3	100	BT_Cry8Ma3	GCA_000161695.1	CM000757.1	Chromosome	5317071	5320436	-
EEM93055.1	Cry2Ad1	100	BT_Cry2Ad1	GCA_000161715.1	CM000758.1	Chromosome	5508217	5510220	+
EEM92924.1	Cry1Hb1	100	BT_Cry1Hb1	GCA_000161715.1	CM000758.1	Chromosome	5619913	5623422	+
EEM92927.1	Cry1Bb1	99.9	NOV_Cry1Bb1_99.9_EEM92927.1	GCA_000161715.1	CM000758.1	Chromosome	5626846	5630679	+
EEM92934.1	Cry1Ab18	100	BT_Cry1Ab18	GCA_000161715.1	CM000758.1	Chromosome	5635952	5639485	+
EEM92941.1	Cry1Nb1	100	BT_Cry1Nb1	GCA_000161715.1	CM000758.1	Chromosome	5651135	5653150	-
EEM92947.1	Cry1Ja2	100	BT_Cry1Ja2	GCA_000161715.1	CM000758.1	Chromosome	5657827	5661330	-
EEM92952.1	Cry1Id1	100	BT_Cry1Id1	GCA_000161715.1	CM000758.1	Chromosome	5664597	5666756	-
EEM92953.1	Cry1Da3	99.9	NOV_Cry1Da3_99.9_EEM92953.1	GCA_000161715.1	CM000758.1	Chromosome	5667249	5670743	-
EEM92570.1	Cry8Aa1	47.1	NOV_Cry8Aa1_47.1_EEM92570.1	GCA_000161715.1	CM000758.1	Chromosome	6061925	6063829	+
EEM99282.1	Cry10Aa3	100	BT_Cry10Aa3	GCA_000161735.1	CM000759.1	Chromosome	5826666	5828708	+
EEM99034.1	Cry11Aa4	100	BT_Cry11Aa4	GCA_000161735.1	CM000759.1	Chromosome	6139677	6141617	+
ADY24756.1	Cry26Aa1	95.4	NOV_Cry26Aa1_95.4_ADY24756.1	GCA_000190515.1	CP002509.1	Complete Genome	42240	45734	+
ADY24870.1	Cry28Aa2	99.7	NOV_Cry28Aa2_99.7_ADY24870.1	GCA_000190515.1	CP002509.1	Complete Genome	161844	165230	+
ADY25012.1	Cry28Aa2	99.6	NOV_Cry28Aa2_99.6_ADY25012.1	GCA_000190515.1	CP002510.1	Complete Genome	109951	113337	+
AEA19203.1	Cry1Ba1	99.9	NOV_Cry1Ba1_99.9_AEA19203.1	GCA_000193355.1	CP001908.1	Complete Genome	25432	29118	-
AEA19603.1	Cry2Ab16	100	BT_Cry2Ab16	GCA_000193355.1	CP001910.1	Complete Genome	257224	259125	+
AEA19608.1	Cry1Aa12	100	BT_Cry1Aa12	GCA_000193355.1	CP001910.1	Complete Genome	266970	270500	+
AEA19609.1	Cry1Ia14	100	BT_Cry1Ia14	GCA_000193355.1	CP001910.1	Complete Genome	271007	273166	+
AEA19615.1	Cry2Aa1	100	BT_Cry2Aa1	GCA_000193355.1	CP001910.1	Complete Genome	278386	280287	-
AFQ19845.1	Cry1Aa13	100	BT_Cry1Aa13	GCA_000292455.1	CP003755.1	Complete Genome	6267	9809	-
AFQ30496.1	Cry4Ba1	100	BT_Cry4Ba1	GCA_000292705.1	CP003766.1	Complete Genome	42611	46021	-
AFQ30505.1	Cry11Aa1	100	BT_Cry11Aa1	GCA_000292705.1	CP003766.1	Complete Genome	56897	58828	-
AFQ30558.1	Cry4Aa2	100	BT_Cry4Aa2	GCA_000292705.1	CP003766.1	Complete Genome	108736	112278	+
AFQ30560.1	Cry10Aa3	100	BT_Cry10Aa3	GCA_000292705.1	CP003766.1	Complete Genome	115332	117359	+
AFU17214.1	Cry69Aa2	100	BT_Cry69Aa2	GCA_000300475.1	CP003691.1	Complete Genome	141711	145505	+
